"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","140","740","JPN","NUMBER","CORRECTED","P1Y","2007",45,NA,"Killed","10-14 Years","Total"
"1010","120","740","IRL","NUMBER","CORRECTED","P1Y","2009",7,NA,"Killed","00-05 Years","Total"
"1010","110","740","ISR","NUMBER","CORRECTED","P1Y","2012",263,NA,"Killed","Total","Total"
"1010","110","740","IRL","NUMBER","CORRECTED","P1Y","2014",193,"p","Killed","Total","Total"
"1010","140","740","PRT","NUMBER","CORRECTED","P1Y","2010",5,"f","Killed","10-14 Years","Total"
"1010","150","740","GBR","NUMBER","CORRECTED","P1Y","2011",77,NA,"Killed","15-17 Years","Total"
"1010","370","740","NOR","NUMBER","CORRECTED","P1Y","2005",3,"f","Killed","Unknown Age","Total"
"1010","140","740","GBR","NUMBER","CORRECTED","P1Y","2010",12,"f","Killed","10-14 Years","Total"
"1010","120","740","SVN","NUMBER","CORRECTED","P1Y","2015",2,NA,"Killed","00-05 Years","Total"
"1010","370","740","GBR","NUMBER","CORRECTED","P1Y","2008",1,"f","Killed","Unknown Age","Total"
"1010","370","740","GBR","NUMBER","CORRECTED","P1Y","2010",0,"f","Killed","Unknown Age","Total"
"1010","370","740","NOR","NUMBER","CORRECTED","P1Y","2013",0,NA,"Killed","Unknown Age","Total"
"1010","240","740","BEL","NUMBER","CORRECTED","P1Y","2007",623,NA,"Killed","25-64 Years","Total"
"1010","370","740","GBR","NUMBER","CORRECTED","P1Y","2013",0,NA,"Killed","Unknown Age","Total"
"1010","140","740","CAN","NUMBER","CORRECTED","P1Y","2009",24,NA,"Killed","10-14 Years","Total"
"1010","110","740","USA","NUMBER","CORRECTED","P1Y","2011",32479,NA,"Killed","Total","Total"
"1010","130","740","IRL","NUMBER","CORRECTED","P1Y","2015",0,"p","Killed","06-09 Years","Total"
"1010","230","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2008",256,"f","Killed","21-24 Years","Total"
"1010","230","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2009",213,"f","Killed","21-24 Years","Total"
"1010","230","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2010",150,"f","Killed","21-24 Years","Total"
"1010","230","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2011",184,NA,"Killed","21-24 Years","Total"
"1010","120","740","SVN","NUMBER","CORRECTED","P1Y","2006",4,"f","Killed","00-05 Years","Total"
"1010","240","740","FIN","NUMBER","CORRECTED","P1Y","2015",130,NA,"Killed","25-64 Years","Total"
"1010","120","740","IRL","NUMBER","CORRECTED","P1Y","2012",2,NA,"Killed","00-05 Years","Total"
"1010","150","740","NLD","NUMBER","CORRECTED","P1Y","2012",13,NA,"Killed","15-17 Years","Total"
"1010","110","740","ISR","NUMBER","CORRECTED","P1Y","2010",352,NA,"Killed","Total","Total"
"1010","140","740","HUN","NUMBER","CORRECTED","P1Y","2012",10,NA,"Killed","10-14 Years","Total"
"1010","120","740","IRL","NUMBER","CORRECTED","P1Y","2015",2,"p","Killed","00-05 Years","Total"
"1010","150","740","KOR","NUMBER","CORRECTED","P1Y","2009",137,NA,"Killed","15-17 Years","Total"
"1010","370","740","NLD","NUMBER","CORRECTED","P1Y","2008",0,"f","Killed","Unknown Age","Total"
"1010","130","740","CAN","NUMBER","CORRECTED","P1Y","2008",23,NA,"Killed","06-09 Years","Total"
"1010","150","740","POL","NUMBER","CORRECTED","P1Y","2005",148,"f","Killed","15-17 Years","Total"
"1010","190","740","SVN","NUMBER","CORRECTED","P1Y","2010",3,"f","Killed","18-20 Years","Total"
"1010","130","740","CAN","NUMBER","CORRECTED","P1Y","2011",12,NA,"Killed","06-09 Years","Total"
"1010","110","740","ISR","NUMBER","CORRECTED","P1Y","2008",412,NA,"Killed","Total","Total"
"1010","110","740","ISR","NUMBER","CORRECTED","P1Y","2009",314,NA,"Killed","Total","Total"
"1010","370","740","NLD","NUMBER","CORRECTED","P1Y","2012",0,NA,"Killed","Unknown Age","Total"
"1010","110","740","IRL","NUMBER","CORRECTED","P1Y","2007",338,NA,"Killed","Total","Total"
"1010","140","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2011",28,NA,"Killed","10-14 Years","Total"
"1010","140","740","BEL","NUMBER","CORRECTED","P1Y","2014",5,"b","Killed","10-14 Years","Total"
"1010","140","740","BEL","NUMBER","CORRECTED","P1Y","2015",8,NA,"Killed","10-14 Years","Total"
"1010","140","740","CAN","NUMBER","CORRECTED","P1Y","2012",26,NA,"Killed","10-14 Years","Total"
"1010","370","740","CZE","NUMBER","CORRECTED","P1Y","2011",6,NA,"Killed","Unknown Age","Total"
